counterpart_name,year,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Azerbaijan,Bangladesh,Belarus,Belize,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Central African Republic,Chad,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Eritrea,Eswatini,Ethiopia,Fiji,Gabon,"Gambia, The",Georgia,Ghana,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,"Iran, Islamic Rep.",Iraq,Jamaica,Jordan,Kazakhstan,Kenya,Kosovo,Kyrgyz Republic,Lao PDR,Lebanon,Lesotho,Liberia,Madagascar,Malawi,Maldives,Mali,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Nepal,Nicaragua,Niger,Nigeria,North Macedonia,Pakistan,Papua New Guinea,Paraguay,Peru,Philippines,Rwanda,Samoa,Sao Tome and Principe,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,Sri Lanka,St. Lucia,St. Vincent and the Grenadines,Sudan,Suriname,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Tunisia,Turkiye,Turkmenistan,Uganda,Ukraine,Uzbekistan,Vanuatu,Viet Nam,"Yemen, Rep.",Zambia,Zimbabwe
African Dev. Bank (official),1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,7.0,,7.0,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,
African Dev. Bank (official),1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9999,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,6.0,,,,,5.9999,,,,,,,,,,,,,,,,,,6.0,
African Dev. Bank (official),1972,,,6.7499,,,,,,,,,,,,,,6.5,,,,,,,,,,,7.0,,7.0267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9999,,6.9999,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,5.9999,,,,,,,,,7.1055,,,6.9999,,5.9999,,,,,,,,,,
African Dev. Bank (official),1973,,,,,,,,,,,6.9999,,,,,,,,,,5.9999,7.0,,,,,6.0,8.0,,8.0,,,,,,,,5.9999,,,,,,7.0,,,,,,,,,,,,,,,6.5,,,,,,7.0,,,,,6.9999,,,,,,6.9999,,,,,,,,,,,,,,,,6.9999,,7.0,,,,,,,,,,,6.9999,,,,,,,,7.0,,,,,,5.9999,
African Dev. Bank (official),1974,,,7.0,,,,,,,,5.5572,,,,6.0,,0.7499,,,,,,0.75,,,,6.0,,,7.0,,,,,6.0,,,6.0,,,,0.75,,7.0,,,6.0,,,,,,,,,,,,6.0,,,,,,7.0,,7.0,,0.7499,0.75,,,,,,7.0,,,,,,7.0,,,,,,,0.75,,,1.0718,,,,0.75,,,,,4.1896,,,,,,,7.0,,6.0,,,7.0,,,,,,6.0,
African Dev. Bank (official),1975,,,,,,,,,,,3.6571,,,,,,2.7842,2.76,,,7.7454,0.75,,,,,6.0,,,7.0,,,,,,,,4.2499,,,6.0,,,6.3902,,,,,,,,,,,,,,,6.0,,,,,0.75,7.0,,6.3042,,0.75,,6.0,,,,,,,,,,0.7499,,,,,,,,,,,0.75,,7.0,,0.75,,,,,,,,,3.1751,,,0.7499,,5.9999,,,,,,,,,,
African Dev. Bank (official),1976,,,7.0,,,,,,,,,,,,0.7499,,0.7499,0.7499,,,8.0,,0.75,,,,6.1666,7.0,,8.0,,,,,6.0,,,,0.75,,6.0,7.0,,7.0,,,7.3342,0.7499,,,,,,,,,,,1.0,,,,,0.7499,,,0.75,,0.75,3.2527,6.5744,,,,,8.5,,,,,0.7499,,,,,,,,0.75,,,7.0,,,,0.75,,,,,0.75,,,,0.75,,,0.75,,7.5,,,,,,,,,,
African Dev. Bank (official),1977,,,,,,,,,,,2.1635,,,,,,0.75,3.9999,,,8.0,0.7499,,,,0.7499,7.0,,,8.2524,,,,,7.5,,,7.3448,0.7499,,7.0,4.0,,7.0,,,,,,,,,,,,,,,8.0,,,,,0.7499,6.6019,2.1358,4.4688,,2.8535,,7.0,,,,,8.0,,,,,4.1799,,,,,,,,0.7499,,,8.0,,0.75,,0.75,,,,,,,,,4.1339,,,7.9999,,7.0,,,8.0,,,,,,,
African Dev. Bank (official),1978,,,8.0,,,,,,,,4.5646,,,,7.0,,0.7499,0.75,,,,0.7499,0.75,,,0.75,4.9268,7.5,,,,,,,7.0,,,,,,7.0,,,7.0,,,4.5019,,,,,,,,,,,,6.9999,,,,,,7.9999,,8.0,,0.75,5.259,7.0,,,,,8.1666,,,,,5.4677,,,,,,,,4.5564,,0.7499,0.75,,7.5592,,,,,,,7.0,,,,0.7499,,,2.5307,,6.9999,,,8.0,,,,,,7.0,
African Dev. Bank (official),1979,,,,,,,,,,,0.7499,,,,,,1.2233,,,,8.5,0.75,,,,,7.0,7.4999,,7.2445,0.75,,,,4.0034,,,0.75,4.2452,,,5.5277,,6.4492,,,0.987,1.8826,,,,,,,,,,,3.4787,,,,,4.6868,8.0,0.75,0.75,,5.1266,0.7499,,,,,,7.0,,,,,0.7499,,,,,,,,0.75,,,7.0,,1.5195,,0.7499,,,,,0.7499,,,,0.75,,,0.75,,7.0,,,,,,,,,3.2766,
African Dev. Bank (official),1980,,,,,,,,,,,0.75,,,,7.0,,0.75,0.75,,,7.9999,,,,,0.7499,5.4265,4.6193,,,,,,,5.5,,,,0.75,,7.0,0.75,,0.7499,,,,0.75,,,,,,,,,,,8.0,,,,,4.5526,,,0.75,,0.7499,8.0,5.1329,,,,,7.5,,,,,5.9736,,,,,,,,0.75,,4.0,7.6855,,,,0.75,,,,,0.7499,,,,4.975,,,8.5,,7.5,,,8.256,,,,,,5.2004,
African Dev. Bank (official),1981,,,,,,,,,,,8.5,,,,7.0,,,3.5248,7.0,,5.7549,,0.7499,,,,4.5165,7.0,,8.0,,,,,0.7499,,,7.2173,0.75,,7.0,,,7.0,,,0.7499,,,,,,,,,,,,5.9049,,,,,,8.5,0.75,,,1.1832,1.2693,,,,,,,,,,,7.5,,,,,,,,0.75,,,6.3018,,1.9065,,0.7499,,,,,2.2551,,,,4.3899,,,0.7499,,7.0,,,7.4382,,,,,,3.5551,
African Dev. Bank (official),1982,,,,,,,,,,,0.7499,,,,6.1501,,,7.0,0.7499,,9.6501,6.1466,,,,4.8984,6.6789,,,8.0,,,,,5.5,,,7.0,4.0034,,,4.9042,,,,,6.9999,7.0,,,,,,,,,,,,,,,,0.7499,0.75,0.75,0.7499,,2.1358,7.6505,7.0,,,,,7.75,,,,,4.0854,,,,,,,,0.7499,,,3.8492,,,,,,,,,,,,,3.9999,,,,,7.1629,,,7.2882,,,,,,4.3104,6.1365
African Dev. Bank (official),1983,,,,,,,,,,,0.75,,,,8.8478,,0.75,9.5,9.4999,,8.1186,0.7499,,,,0.75,2.7476,9.4999,,,,,,,7.2361,,,,0.75,,9.5,3.3918,,,,,5.5004,0.75,,,,,,,,,,,6.4717,,,,,0.75,9.5,9.4999,9.5,,0.75,9.0713,5.6384,,,,,8.0,,,,,0.75,,,,,,,,0.75,,,,,,,6.5695,,,,,,,,,0.75,,,,,9.4999,,,,,,,,,9.5,0.75
African Dev. Bank (official),1984,,,,,,,,,,,9.1369,,,,9.5,,5.7574,1.2255,1.3983,,,0.7348,,,,,9.1628,,,9.5,0.7499,,,,,,,4.899,4.6049,,,0.75,,0.7119,,,3.7726,0.6707,,,,,,,,,,,,,,,,3.8898,6.1984,5.4779,6.7606,,0.75,,,,,,,8.0,8.3036,,,,0.7499,,,,,,,,0.7062,,0.6736,0.6774,,,,,,,,,,,,,,,,4.7398,,9.7101,,,6.8644,,,,,,9.2415,9.5
African Dev. Bank (official),1985,,,,,,,,,,,0.731,,,,8.2195,,,0.75,,,8.0605,,,,,,4.2286,10.8599,,10.2743,,,,,10.0,,,,0.75,,,,,3.6135,,,0.75,,,,,,,,,,,,10.0,,,,,4.5441,9.5,2.3393,0.7499,,0.75,,9.8599,,,,,9.6842,5.4095,,,,0.7499,,,,,,,,10.5,,,,,0.7499,,0.7499,,,,,4.4106,,,,,,,,,9.55,,,0.6213,,,,,,0.75,8.101
African Dev. Bank (official),1986,,,,,,,,,,,0.75,,,,0.7499,,0.7499,,0.7499,,,0.6634,0.7254,,,,8.1469,9.55,,7.0,,,,,8.085,,,,0.729,,9.55,0.75,,8.75,,,0.5245,,,,,,,,,,,,0.75,,,,,0.75,,0.75,0.75,,1.2905,0.75,,,,,,7.8619,1.0,,,,,,,,,,,,0.7499,,0.7276,4.1353,,,,,,,,,0.7499,,,,0.0085,,,,,8.9525,,,0.75,,,,,,7.9612,0.7499
African Dev. Bank (official),1987,,,8.3,,,,,,,,0.7109,,,,4.6791,,0.7499,1.9919,0.7499,,6.9521,,0.7162,,,,2.1518,7.3299,,,0.7499,,,,8.3,,,5.7762,3.4973,,,,,0.75,,,4.387,0.7499,,,,,,,,,,,2.0131,,,,,0.7499,,0.7423,0.75,,0.6822,0.7499,7.6399,,,,,8.3,,,,,0.75,8.419,,,,,,,0.717,,0.7499,3.327,,,,0.7499,,,,,,,,,0.7409,,,,,7.3299,,,0.6151,,,,,,6.1692,7.6399
African Dev. Bank (official),1988,,,,,,,,,,,3.5339,,,,4.1803,,0.75,,,,4.5904,0.7499,0.7499,,,,5.4694,7.55,,7.5325,,,,,7.4998,,,0.7499,,,7.55,0.7499,,,,,,0.75,,,,,,,,,,,,,,,,0.75,,0.75,0.7499,,0.75,0.75,7.55,,,,,7.3401,2.6846,,,,,,,,,,,,2.032,,,,,,,4.0,,,,,1.9666,,,,1.6733,,,0.75,,7.55,,,1.4215,,,,,,6.7968,7.3299
African Dev. Bank (official),1989,,,7.368,,,,,,,,0.75,,,,6.3485,,0.7499,0.75,0.75,,7.0574,0.75,0.75,,,,5.4635,,,6.5704,0.7499,,,,3.4748,,,3.2836,4.2533,,7.4099,0.75,,6.6349,,,2.5112,0.75,,,,,,,,,,,4.2537,,,,,,,0.75,,,0.75,0.75,2.4409,,,,,7.4271,0.75,,,,0.75,7.5187,,,,,,,2.1988,,,0.75,,,,0.75,,,,,,,,,0.7499,,,0.7499,,7.4045,,,0.75,,,,,,0.7499,
African Dev. Bank (official),1990,,,7.4687,7.5,,,,,,,1.216,,,,,,,0.7499,0.75,,4.8026,,,,,,7.4999,,,7.5708,,,,,7.4099,,,,0.75,,7.4099,0.7499,,5.9527,,,6.8353,0.75,,,,,,,,,,,,,,,,0.9157,3.9999,0.75,0.7499,,,8.0,,,,,,6.2902,0.75,,,,,6.4568,,,,,,,,,0.7499,0.75,,,,0.7499,,,,,0.7499,,,,,,,0.7499,,7.5,,,,,,,,,7.4894,7.5053
African Dev. Bank (official),1991,,,7.812,2.7106,,,,,,,0.75,,,,0.75,,0.75,1.9985,,,7.9818,0.75,,,,0.75,,,,0.75,,,,,7.344,,,,8.05,,7.5253,,,0.75,,,0.75,0.75,,,,,,,,,,,3.0889,,,,,0.75,,0.75,3.3076,,0.75,0.75,7.0,,,,,8.2716,,,,,,7.5487,,,,,,,0.7499,,0.75,5.9219,,0.7499,,,,,,,0.3195,,,,0.7425,,,,,7.6254,,,4.3128,,,,,,0.7499,4.4204
African Dev. Bank (official),1992,,,7.9981,8.05,,,,,,,0.7499,,,,7.4999,,0.75,0.7499,1.7745,,,,0.75,,,,,,,7.3269,0.75,,,,6.5996,,,8.05,0.75,,7.8723,0.7499,,0.7499,,,6.6814,,,,,,,,,,,,,,,,,3.8984,,0.7499,0.75,,4.2259,,7.1038,,,,,10.7654,0.75,,,,,0.7499,,,,,,,0.75,,0.75,0.7499,,0.7499,,,,,,,8.05,,,,0.8716,,,0.75,,7.9699,,,1.7353,,,,,,2.5328,7.2601
African Dev. Bank (official),1993,,,8.018,,,,,,,,,,,,,,0.75,1.0871,0.75,,,0.75,0.7499,,,,,,,0.7499,0.7499,,,,0.75,,,6.6473,2.7813,,10.3537,,,,,,0.75,,,,,,,,,,,,,,,,,0.7499,,0.75,0.7499,,0.75,0.75,,,,,,9.5859,0.75,,,,0.75,,,,,,,,0.75,,,,,,,,,,,,,,,,0.7499,,,,,7.7756,,,0.7499,,,,,,0.75,11.13
African Dev. Bank (official),1994,,,12.56,,,,,,,,0.75,,,,,,,0.75,,,5.46,,,,,,,0.75,,5.815,,,,,,,,0.75,0.7499,,6.0161,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,5.0944,0.7499,,,,,7.7197,,,,,,,,,0.7499,,,1.5491,,,,,,,,,,,,,,,,8.05,,,,,,,,,,6.438
African Dev. Bank (official),1995,,,7.1249,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7685,,,,,2.3206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,7.9852,,,,,,,,,,
African Dev. Bank (official),1996,,,7.3099,,,,,,,,1.9687,,,,,,,,,,,,,,,,,,,0.75,,,,,,,0.7499,7.3099,,,7.3099,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,0.75,,,,,,0.7499,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,7.3099,,,,,,,,,,7.3099
African Dev. Bank (official),1997,,,7.3099,,,,,,,,0.75,,,,,,0.75,,0.75,,,,0.7499,,,,,,,,,,,,,,0.7257,,0.75,,7.3099,0.75,,0.75,,,0.75,0.75,,,,,,,,,,,,,,,,,,0.75,0.7325,,0.75,0.7499,7.3099,,,,,6.135,0.8147,,,,,,,,,,,,,,0.75,0.75,,,,,,,,,,,,,0.75,,,0.75,,,,,0.75,,,,,,0.75,0.75
African Dev. Bank (official),1998,,,7.3099,,,,,,,,1.2257,,,,,,,,,,0.7499,,0.7499,,,,,,,,0.75,,,,,,,,0.7499,,,,,0.75,,,,,,,,,,,,,,,0.75,,,,,0.75,,0.75,,,,,,,,,,,0.75,,,,0.75,,,,,,,,,,,0.75,,0.7499,,,4.98,,,,,,,,0.75,,,,,0.1255,,,,,,,,,,0.0287
African Dev. Bank (official),1999,,,5.2449,,,,,,,,,,,,,,0.6774,0.7499,,,0.75,,0.7499,,,,,,,0.75,,,,,,,,,,,,0.75,,0.7499,,,,,,,,,,,,,,,0.75,,,,,0.7499,,0.75,0.75,,0.75,0.75,,,,,,,0.7499,,,,,,,,,,,,0.7499,,,0.75,,,,,,,,,,,,,0.75,,,0.7499,,,,,0.75,,,,,,,
African Dev. Bank (official),2000,,,6.9999,,,,,,,,0.75,,,,,,0.75,,0.75,,0.75,,0.75,,,,,,,0.75,,,,,7.4099,,,,,,,0.75,,0.7499,,,0.75,,,,,,,,,,,,0.7499,,,,,,,0.7499,0.75,,0.75,0.75,,,,,,,0.75,,,,,,,,,,,,,,0.75,0.7499,,,,,5.9002,,,,,,,,,,,,,7.105,,,0.7499,,,,,,,
African Dev. Bank (official),2001,,,3.8111,,,,,,,,0.7499,,,,,,0.7499,,,,0.7499,,0.7499,,,,,,,,,,,,,,0.75,0.7695,0.7499,,4.446,1.3596,,0.75,,,0.75,0.7499,,,,,,,,,,,,,,,,0.75,,0.75,0.75,,0.75,2.3459,2.664,,,,,1.8779,0.75,,,,0.7499,2.5075,,,,,,,0.75,,0.75,0.7499,,0.75,,,3.9089,,,,,,,,0.75,,,,,3.594,,,0.75,,,,,,1.0865,
African Dev. Bank (official),2002,,,,0.7499,,,,,,,0.7499,,,,,,,,0.75,,0.75,,0.75,,,,,,,0.7499,0.7499,,,,1.9137,,,,0.7499,,,0.75,,0.75,,,0.7499,0.75,,,,,,,,,,,0.7499,,,,,0.75,,0.7499,0.7499,,0.7499,,2.0946,,,,,2.1139,0.7499,,,,0.75,0.7499,,,,,,,,,,0.7499,,0.75,,,1.6,,,,,,,,0.7499,,,,,3.2937,,,0.8974,,,,,,,
African Dev. Bank (official),2003,,,1.2593,0.75,,,,,,,,,,,,,0.75,,,,1.1194,,0.75,,,,0.75,,,,,,,,1.2312,,,1.6854,0.75,,,,,0.75,,,0.75,,,,,,,,,,,,,,,,,,,0.75,0.75,,0.75,1.0609,,,,,,2.857,0.75,,,,0.75,0.75,,,,,,,0.9898,,0.75,0.75,,0.75,,,,,,,,,,,0.75,,,,,2.1089,,,0.7499,,,,,,,
African Dev. Bank (official),2004,,,,,,,,,,,0.8209,,,,,,0.75,,0.7499,,0.7499,,,,,,0.7499,,,,0.7499,,,,,,,2.2229,0.7499,,2.48,1.9263,,0.9784,,,0.7499,,,,,,,,,,,,0.7738,,,,,0.75,,0.7499,0.75,,0.7499,0.75,,,,,,2.3069,0.75,,,,0.75,,,,,,,,0.7499,,,0.7499,,0.75,,,1.99,,,,,,,,0.75,,,,,2.3502,,,,,,,,,0.7499,
African Dev. Bank (official),2005,,,,,,,,,,,0.75,,,,,,0.75,0.7499,,,,,0.75,,,,0.7499,0.75,,,0.75,,,,3.2586,,,,0.75,,4.8663,0.75,,0.75,,,,0.7499,,,,,,,,,,,0.75,,,,,,,,0.75,,0.7499,1.5211,,,,,,2.3259,,,,,0.75,0.4296,,,,,,,0.75,,,0.75,,0.75,,,,,,,,,,,0.75,,,,,2.6916,,,0.75,,,,,,0.75,
African Dev. Bank (official),2006,,,,,,,,,,,0.75,,,,,,0.75,,0.75,,,,,,,,,,,,,,,,5.6875,,,,,,,,,0.7499,,,0.75,,,,,,,,,,,,0.75,,,,,,,0.75,,,0.75,,4.3778,,,,,4.2188,0.7499,,,,0.75,0.75,,,,,,,,,,0.75,,,,,,,,,,,,,0.75,,,,,3.0416,,,,,,,,,,
African Dev. Bank (official),2007,,,,,,,,,,,,,,,,,0.75,,,,0.75,,,,,,,,,,,,,,,,,,0.75,,4.8263,,,0.75,,,0.7499,,,,,,,,,,,,0.75,,,,,0.75,,,0.7499,,0.75,0.75,5.3583,,,,,5.2107,0.75,,,,,0.75,,,,,,,,,,0.75,,,,,,,,,,,,,0.7499,,,,,,,,0.75,,,,,,0.75,
African Dev. Bank (official),2008,,,,0.75,,,,,,,0.75,,,,,,0.7499,,0.75,,0.75,,,,,,,,,,,,,,4.3629,,,,0.75,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,0.7499,0.75,,0.7499,0.75,,,,,,4.659,0.7499,,,,0.7499,0.75,,,,,,,,,,0.75,,0.75,,,,,,,,,,,0.7499,,,,,4.8039,,,0.7499,,,,,,0.7499,
African Dev. Bank (official),2009,,,,0.75,,,,,,,0.75,,,,0.7861,,0.75,,0.9426,,0.75,,,,,,,,,,,,,,1.6014,,,,,,,0.75,,0.7499,,,,,,,,,,,,,,,0.75,,,,,0.75,,0.75,0.7499,,0.75,0.4296,0.7356,,,,,1.2514,0.7499,,,,,0.7499,,,,,,,,,,0.75,,,,,1.15,,,,,,,,,,,,,1.2151,,,0.7499,,,,,,,
African Dev. Bank (official),2010,,,,,,,,,,,0.667,,,,0.9859,,0.75,,0.5702,,0.75,,,,,,,,,,,,,,0.3869,,,,0.75,,0.944,,,0.7499,,,,,,,,,,,,,,,0.7499,,,,,0.7499,,,,,0.7499,,,,,,,0.7711,0.7499,,,,0.7499,,,,,,,,,,,,,0.75,,,,,,,,,,,0.7499,,,,,0.4483,,,0.75,,,,,,0.7499,
African Dev. Bank (official),2011,,,,,,,,,,,0.75,,,,,,,,1.3694,,0.75,,0.7499,,,,,,,0.75,,,,,0.4857,,,,0.75,,,,,0.7499,,,,,,,,,,,,,,,0.7499,,,,,,,,0.75,,0.6101,,,,,,,1.2269,0.7499,,,,0.75,,,,,,,,0.7499,,,0.75,,,,,0.5577,,,,,,,,0.7499,,,,,0.7282,,,0.7499,,,,,,0.7499,
African Dev. Bank (official),2012,,,,,,,,,,,0.7499,,,,,,0.75,,,,0.7499,0.75,0.75,,,,,,,,,,,,,,,,0.6601,,1.0779,,,0.75,,,,,,,,,,,,,,,0.6608,,,,,,0.5,0.7499,0.7499,,0.75,,,,,,,0.8926,0.75,,,,0.75,0.7499,,,,,,,0.75,,,0.7499,,0.75,,,0.437,,,,,,,,0.75,,,0.75,,0.9717,,,0.7499,,,,,,0.75,
African Dev. Bank (official),2013,,,,0.75,,,,,,,0.75,,,,,,,,0.3361,,0.75,,,,,,,0.7499,,0.75,0.7499,,,,,,,,0.75,,,,,0.75,,,0.7499,,,,,,,,,,,,0.7499,,,,,,0.75,0.7499,,,0.75,0.75,,,,,,0.3648,0.7499,,,,,0.4895,,,,,,,1.0104,,,0.7499,,0.75,,,,,,,,,,,0.75,,,,,0.298,,,0.75,,,,,,0.75,
African Dev. Bank (official),2014,,,,0.3349,,,,,,,0.7499,,,,,,0.75,,0.1889,,0.7499,,0.7499,,,,0.7499,0.75,,,,,,,,,,0.3262,0.7499,,0.3889,,,,,,0.75,,,,,,,,,,,,0.75,,,,,0.7499,0.7499,,0.7499,,0.75,0.75,0.3325,,,,,0.2835,0.7499,,,,0.7499,0.75,,,,,,,0.606,,,0.75,,0.75,,,0.437,,,,,,,,0.7499,,,0.75,,0.3262,,,0.75,,,,,,0.7499,
African Dev. Bank (official),2015,,,,0.431,,,,,,,0.7499,,,,,,0.75,,0.0288,,0.1847,,,,,,,0.0464,,0.7499,1.3552,,,,0.7155,,0.75,0.3262,0.75,,,0.7499,,0.75,,,0.75,0.75,,,,,,,,,,,0.7499,,,,,,0.75,0.75,0.7499,,0.75,,,,,,,0.4892,,,,,0.75,0.4287,,,,,,,,,0.75,0.4314,,,,,,,,,,,,,0.7238,,,0.75,,0.0038,,,0.651,,,,,,0.6185,
African Dev. Bank (official),2016,,,0.7499,1.2228,,,,,,,,,,,,,0.75,,,,,,0.75,,,,,0.75,,0.5156,,,,,0.75,,,0.75,0.7743,,,0.75,,0.75,,,0.75,,,,,,,,,,,,0.9011,,,,,,0.75,0.75,0.75,,0.75,2.3358,,,,,,0.6333,0.7499,,,,0.75,0.7499,,,,,,,0.75,,1.75,0.6457,,0.7499,,,0.7679,,,,,,,,0.7499,,,,,0.7499,,,0.9773,,,,,,0.8757,
African Dev. Bank (official),2017,,,,,,,,,,,0.7499,,,,,,0.3055,,0.7499,,0.3227,0.75,,,,0.75,0.75,,,0.6165,1.0,,,,,,,,0.9716,,0.3445,0.75,,0.8733,,,0.75,0.75,,,,,,,,,,,1.2798,,,,,1.0,0.7499,,0.75,,0.75,0.7499,,,,,,1.3176,0.7499,,,,0.7499,1.3921,,,,,,,0.7499,,1.0,0.0831,,0.75,,,,,,,,,,,0.75,,,0.75,,0.4359,,,1.0731,,,,,,1.3002,
African Dev. Bank (official),2018,,,,0.2,,,,,,,0.75,,,,,,0.75,,0.407,,0.5928,,,,,,,,,,1.75,,,,2.9892,,,0.592,,,0.592,0.7499,,1.7499,,,0.7499,0.75,,,,,,,,,,,0.4419,,,,,1.7499,0.7499,0.75,,,0.7499,3.014,,,,,,0.7038,,,,,0.75,,,,,,,,0.3381,,,0.6548,,,,,0.592,,,,,,,,2.7663,,,0.75,,0.1,,,0.6522,,,,,,0.462,
African Dev. Bank (official),2019,,,,1.0,,,,,,,0.9871,,,,,,0.7872,,0.8,,1.1008,,,,,,0.75,1.0725,,1.0938,,,,,,,,0.9369,,,0.8,,,5.9226,,,0.75,0.7499,,,,,,,,,,,1.0932,,,,,,,,0.8085,,3.048,1.6346,0.8,,,,,1.0919,,,,,0.75,1.0362,,,,,,,0.9623,,,0.9736,,0.75,,,,,,,,,,,0.8524,,,1.438,,0.8,,,1.5665,,,,,,,
African Dev. Bank (official),2020,,,,2.4252,,,,,,,0.75,,,,5.3972,,0.9326,,1.05,,1.2675,,,,,0.75,0.75,,,1.2499,,,,,1.0499,,,,,,1.1539,,,1.7499,,,0.7499,,,,,,,,,,,,1.2943,,,,,1.7499,0.7499,0.75,0.75,,0.75,1.7499,1.791,,,,,1.3968,,,,,0.7499,1.2921,,,,,,,0.75,,,1.2499,,,,,1.3097,,,,,,,,1.3654,,,0.7499,,1.0499,,,,,,,,,1.7499,
African Dev. Bank (official),2021,,,,,,,,,,,,,,,,,0.75,,1.0499,,1.2575,,,,,,0.75,,,1.2427,,,,,1.0499,,,,,,1.0499,,,,,,,0.75,,,,,,,,,,,1.385,,,,,1.75,0.75,0.75,,,,0.75,,,,,,1.0499,,,,,0.75,1.2732,,,,,,,1.145,,,2.0468,,,,,,,,,,,,,1.0444,,,,,1.0499,,,1.2503,,,,,,0.75,
African Dev. Bank (official),2022,,,,,,,,,,,0.7499,,,,1.253,,,,1.0499,,1.3078,,,,,,0.7499,,,1.3155,,,,,1.2335,,,1.386,,,,0.75,,5.951,,,1.3356,,,,,,,,,,,,1.197,,,,,,0.75,0.7499,0.75,,,,,,,,,1.0911,,,,,0.7499,1.8583,,,,,,,1.25,,,1.1173,,,,0.75,1.4509,,,,,,,,0.75,,,0.75,,1.1942,,,,,,,,,1.75,
African Dev. Bank (official),2023,,,,7.0451,,,,,,,3.9509,,,,1.0499,,0.75,,2.782,,1.7499,,,,,,0.7499,4.835,,4.8979,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.4205,,,,,1.7499,1.0,1.7499,,,0.75,0.9783,7.0199,,,,,4.6846,0.7499,,,,0.75,1.2499,,,,,,,0.9228,,1.4999,1.7161,,,,,7.0199,,,,,,,,3.64,,,0.7499,,7.5399,,,1.2499,,,,,,1.75,
African Export-Import Bank (official),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
African Export-Import Bank (official),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
African Export-Import Bank (official),2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8968,,,,,,,,,,,,,,,,,,,,,,,,6.6939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2501,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Export-Import Bank (official),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2945,,,,,,,5.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Export-Import Bank (official),2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4892,,,,,7.9358,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Export-Import Bank (official),2020,,,,5.9883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Export-Import Bank (official),2021,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,5.0,,,,,2.4409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3328,,,,,,,
